"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","14757","End to End Scenario - Data Driven Testing","","Mon Jul 20 15:32:14 IST 2026","passed","Mon Jul 20 15:32:29 IST 2026","","UIPOMDataDrivenTesting.spec.js","",""
"","30110","End to End Scenario","","Mon Jul 20 15:32:14 IST 2026","broken","Mon Jul 20 15:32:44 IST 2026","","UIPOM.spec.js","",""
"","3","Test Case 6","","Mon Jul 20 15:32:14 IST 2026","passed","Mon Jul 20 15:32:14 IST 2026","","Example\Example1.spec.js","",""
"","1","Test Case 5","","Mon Jul 20 15:32:14 IST 2026","passed","Mon Jul 20 15:32:14 IST 2026","","Example\Example1.spec.js","",""
"","1","Test Case 2","","Mon Jul 20 15:32:14 IST 2026","passed","Mon Jul 20 15:32:14 IST 2026","","Example\Example.spec.js","",""
"","3","Test Case 4","","Mon Jul 20 15:32:14 IST 2026","passed","Mon Jul 20 15:32:14 IST 2026","","Example\Example1.spec.js","",""
"","14048","End to End Scenario - Data Driven Testing","","Mon Jul 20 15:32:14 IST 2026","passed","Mon Jul 20 15:32:28 IST 2026","","UIPOMDataDrivenTestingFixture.spec.js","",""
"","11066","@Api End to End Playwright Test - POM with parameterization for ZARA COAT 3","","Mon Jul 20 15:32:33 IST 2026","passed","Mon Jul 20 15:32:44 IST 2026","","UIPOMParameterization.spec.js","",""
"","3","Test Case 1","","Mon Jul 20 15:32:14 IST 2026","passed","Mon Jul 20 15:32:14 IST 2026","","Example\Example.spec.js","",""
"","2","Test Case 3","","Mon Jul 20 15:32:14 IST 2026","passed","Mon Jul 20 15:32:14 IST 2026","","Example\Example.spec.js","",""
"","8073","@Api End to End Playwright Test - POM with parameterization for ADIDAS ORIGINAL","","Mon Jul 20 15:32:45 IST 2026","passed","Mon Jul 20 15:32:53 IST 2026","","UIPOMParameterization.spec.js","",""
"","14228","@Web End to End Scenario","","Mon Jul 20 15:32:14 IST 2026","passed","Mon Jul 20 15:32:28 IST 2026","","UIBasicTest8.spec.js","",""
